source	target	note
2	2	full-corpus
Resolution	解析度	full-corpus
Codex	法典	full-corpus
Invade a shore tile with a marine	使用海軍陸戰隊入侵海岸板塊	full-corpus
Password	密碼	full-corpus
Past Reports	過往報告	full-corpus
Links	連結	full-corpus
500	500	full-corpus
Organisations	組織	full-corpus
Developed & Co-Published by 
Torpor Games	由 Torpor Games 
開發與共同發行	full-corpus
Level up by earning XP to unlock rewards and story points. 

Gain XP through completing actions and achievements in the game.	透過獲得經驗值來升級，以解鎖獎勵和故事點數。

透過在遊戲中完成行動和成就來獲得經驗值。	full-corpus
Font Size	字體大小	full-corpus
Attack	攻擊	full-corpus
Ministry of Technology and 
Quality Assurance	部 技術與品質保證部	full-corpus
News	新聞	full-corpus
Associate Producer	助理製作人	full-corpus
-10%	-10%	full-corpus
Adrien Farey	Adrien Farey	full-corpus
Store	商店	full-corpus
Bomber Planes	轟炸機	full-corpus
Christopher Priestly	Christopher Priestly	full-corpus
4	4	full-corpus
By using this service you agree to the Torpor Games
<link="https://www.torporgames.com/terms-of-service"><color=#D9D6D6><u>Terms of Service</color></u></link> and <link="https://www.torporgames.com/privacy-policy"><color=#D9D6D6><u>Privacy Policy</color></u></link>	使用本服務即代表您同意 Torpor Games 的
<link="https://www.torporgames.com/terms-of-service"><color=#D9D6D6><u>服務條款</color></u></link> 與 <link="https://www.torporgames.com/privacy-policy"><color=#D9D6D6><u>隱私權政策</color></u></link>	full-corpus
Anton	安東	full-corpus
Rachel Glassberg	Rachel Glassberg	full-corpus
5000	5000	full-corpus
Stephen Gray	史蒂芬·格雷	full-corpus
Evolve PR	Evolve PR	full-corpus
Confirm	確認	full-corpus
Reward in 5s	5秒後獎勵	full-corpus
Ministry of Propaganda and
Society	部 宣傳與社會部	full-corpus
USP	團結社會黨	full-corpus
<size=19>(Press)</size> Hyperlinks	<size=19>（按下）</size> 超連結	full-corpus
profile name	個人檔案名稱	full-corpus
(+2)	(+2)	full-corpus
Semih Güner	Semih Güner	full-corpus
Link Account with Email	連結電子郵件帳號	full-corpus
Debug Text:	除錯文字：	full-corpus
STABILITY	穩定度	full-corpus
GREATER HOLSORD REGION	大霍爾索德地區	full-corpus
Fiona Murray	Fiona Murray	full-corpus
The nationalist general who led a military coup and declared martial law in 1927.	這位民族主義將軍在 1927 年發動了軍事政變並宣佈戒嚴。	full-corpus
Nathan De Farias Lima	Nathan De Farias Lima	full-corpus
Menu	選單	full-corpus
Support	支援	full-corpus
Law	法律	full-corpus
Demographics	人口統計	full-corpus
Toggle Unit Stats	切換單位數據	full-corpus
Influence 4Influence 4Influence 4Influence 4Influence 4Influence 4	影響力 4影響力 4影響力 4影響力 4影響力 4影響力 4	full-corpus
Incorrect email or password.	電子郵件或密碼錯誤。	full-corpus
Post-processing	後製處理	full-corpus
email	電子郵件	full-corpus
Owned	已擁有	full-corpus
AFFILIATION:	隸屬關係：	full-corpus
Military	軍隊	full-corpus
Anton Rayne	安東·雷恩	full-corpus
Infantry	步兵	full-corpus
Turn	回合	full-corpus
asadasdasdasdadasdasdasdasd	asadasdasdasdadasdasdasdasd	full-corpus
Deploy additional units	部署額外單位	full-corpus
Fortify	防禦	full-corpus
Previous Entry	上一條目	full-corpus
Ministry of Design, Writing and 
Visual Arts	部 設計、寫作與
視覺藝術	full-corpus
Grimaldus	格里馬爾杜斯	full-corpus
World Map	世界地圖	full-corpus
Submarines	潛艇	full-corpus
EMERGENCY DECLARED	緊急狀態已宣告	full-corpus
Defence	國防	full-corpus
Titas Serpenskas	提塔斯·塞彭斯卡斯	full-corpus
Grander Asemble au Altmer dei Sordland	Grander Asemble au Altmer dei 蘇德蘭	full-corpus
ROTATE	旋轉	full-corpus
Delete Personal Data	刪除個人資料	full-corpus
Type here to search...	在此輸入以搜尋...	full-corpus
Zoom In	放大	full-corpus
CAP REACHED	已達上限	full-corpus
Story Points	劇情點數	full-corpus
E-mail is required.	電子郵件為必填項。	full-corpus
Special Thanks	特別感謝	full-corpus
UNSTABLE	不穩定	full-corpus
​	​	full-corpus
Religion	宗教	full-corpus
ATA SERGEY NOWAK	ATA SERGEY NOWAK	full-corpus
Topmak	Topmak	full-corpus
Gundolf S. Freyermuth	Gundolf S. Freyermuth	full-corpus
