id	source	target
scene-tmp-00314	Irene Preuss	艾琳·普羅伊斯
scene-tmp-00315	James Spence	詹姆斯·斯彭斯
scene-tmp-00316	Back to Login	返回登入
scene-tmp-00317	Artic Z.	阿蒂克·Z.
scene-tmp-00318	Stijn Verstraete	斯泰恩·維斯特拉特
scene-tmp-00319	To access this page, please reconnect to the internet.	若要存取此頁面，請重新連線至網際網路。
scene-tmp-00320	Šimon Škvára	西蒙·什克瓦拉
scene-tmp-00321	Font	字體
scene-tmp-00322	UI Scaling	介面縮放
scene-tmp-00323	Story Packs	劇情包
scene-tmp-00324	Robert E. Davis	羅伯特·E·戴維斯
scene-tmp-00325	OR	或
scene-tmp-00326	Shadows	陰影
scene-tmp-00327	Autosave	自動存檔
scene-tmp-00328	You must complete the Main Story once to disable Torpor Mode.	你必須先完成一次主線故事才能停用昏睡模式。
scene-tmp-00329	Brand Manager	品牌經理
scene-tmp-00330	Profile Name already exists.	個人檔案名稱已存在。
scene-tmp-00332	Passwords need to match.	密碼必須相符。
scene-tmp-00333	Use Story Points to start or continue playing a story. 

Earn more by watching ads, leveling up, and completing in-game actions.	使用故事點數來開始或繼續遊玩故事。

透過觀看廣告、升級以及完成遊戲內行動來賺取更多點數。
scene-tmp-00334	Enter a valid password.	請輸入有效的密碼。
scene-tmp-00335	Leveled Up	升級
scene-tmp-00336	Ministry of Technology, Writing and 
Design	部 技術、寫作與
設計
scene-tmp-00337	Loading ad…	正在載入廣告…
scene-tmp-00338	Simple Peasant	純樸農民
scene-tmp-00340	Ministry of Writing	部 寫作
scene-tmp-00341	Render Scale	渲染比例
scene-tmp-00342	Disabled	已停用
scene-tmp-00343	Click to Login	點擊以登入
scene-tmp-00344	Restore Defaults	恢復預設值
scene-tmp-00345	Receive news and updates from Torpor Games	接收來自 Torpor Games 的新聞與更新
scene-tmp-00347	Map Movement/Scroll	地圖移動/捲動
scene-tmp-00348	Invalid Profile Name	無效的個人檔案名稱
scene-tmp-00350	INFLUENCE	影響力
scene-tmp-00351	Prologue Choices	序章選擇
scene-tmp-00352	Yaroslav Bakhmutov	雅羅斯拉夫·巴赫穆托夫
scene-tmp-00353	Max Muehlen	馬克斯·米倫
scene-tmp-00354	Leader	領袖
scene-tmp-00355	The Idealist	理想主義者
scene-tmp-00357	Affiliation	隸屬關係
scene-tmp-00358	PURCHASE	購買
scene-tmp-00359	You haven't finished the Main Story.
Starting a DLC Story will automatically generate a default save file for the main story. Are you sure you want to continue?	您尚未完成主線故事。
開始 DLC 故事將自動為您生成一個預設的主線故事存檔。您確定要繼續嗎？
scene-tmp-00360	Taha Batur Şenlİ	塔哈·巴圖爾·申利
scene-tmp-00361	Error	錯誤
scene-tmp-00362	Ayan	阿揚
scene-tmp-00363	New Version Available!	有新版本可用！
scene-tmp-00364	Textures	紋理
scene-tmp-00365	Joni van der Leeuw	喬尼·范德勒烏
scene-tmp-00366	SORDISH REFORMISM	索德蘭改良主義
scene-tmp-00367	Jimi Henriksson	吉米·亨里克森
scene-tmp-00368	Purchase a ticket to keep access to all stories and to remove ads.	購買通行證以保留對所有故事的存取權限並移除廣告。
scene-tmp-00369	By using this service you agree to the Torpor Games
<link="https://www.torporgames.com/"><color=#D9D6D6><u>Terms of Service</color></u></link> and <link="https://www.torporgames.com/"><color=#D9D6D6><u>Privacy Policy</color></u></link>	使用此服務即表示您同意 Torpor Games 的
<link="https://www.torporgames.com/"><color=#D9D6D6><u>服務條款</color></u></link> 與 <link="https://www.torporgames.com/"><color=#D9D6D6><u>隱私權政策</color></u></link>
scene-tmp-00370	Ad Privacy Options	廣告隱私選項
scene-tmp-00371	SwanKing	天鵝國王
scene-tmp-00372	Saved on a different version.	在不同版本上儲存。
scene-tmp-00373	Maria Bilo	瑪麗亞·比洛
scene-tmp-00374	3-day ticket	3 天通行證
scene-tmp-00375	New	新
scene-tmp-00377	Current Story: Rizia	當前故事：里齊亞
scene-tmp-00378	Sync Achievements	同步成就
scene-tmp-00379	Anrica	安里卡
scene-tmp-00380	Country	國家
scene-tmp-00381	Create Account	建立帳號
scene-tmp-00382	Ministry of Human Resources and 
Administration	人力資源與行政部
scene-tmp-00383	Watch ads to earn Story Points. Use them to advance in the story.	觀看廣告以賺取故事點數。使用它們來推進故事進度。
scene-tmp-00384	Republic of Sordland	蘇德蘭共和國
scene-tmp-00385	Chief Strategist
Ministry of Design and Writing	首席策略師
設計與編劇部
