source	target	note
2	2	full-corpus-half-a
Resolution	解析度	full-corpus-half-a
Codex	法典	full-corpus-half-a
Invade a shore tile with a marine	使用海軍陸戰隊入侵海岸板塊	full-corpus-half-a
Password	密碼	full-corpus-half-a
Past Reports	過往報告	full-corpus-half-a
Links	連結	full-corpus-half-a
500	500	full-corpus-half-a
Organisations	組織	full-corpus-half-a
Developed & Co-Published by 
Torpor Games	由 Torpor Games 
開發與共同發行	full-corpus-half-a
Level up by earning XP to unlock rewards and story points. 

Gain XP through completing actions and achievements in the game.	透過獲得經驗值來升級，以解鎖獎勵和故事點數。

透過在遊戲中完成行動和成就來獲得經驗值。	full-corpus-half-a
Font Size	字體大小	full-corpus-half-a
Attack	攻擊	full-corpus-half-a
Ministry of Technology and 
Quality Assurance	部 技術與品質保證部	full-corpus-half-a
News	新聞	full-corpus-half-a
Associate Producer	助理製作人	full-corpus-half-a
-10%	-10%	full-corpus-half-a
Adrien Farey	Adrien Farey	full-corpus-half-a
Store	商店	full-corpus-half-a
Bomber Planes	轟炸機	full-corpus-half-a
Christopher Priestly	Christopher Priestly	full-corpus-half-a
4	4	full-corpus-half-a
By using this service you agree to the Torpor Games
<link="https://www.torporgames.com/terms-of-service"><color=#D9D6D6><u>Terms of Service</color></u></link> and <link="https://www.torporgames.com/privacy-policy"><color=#D9D6D6><u>Privacy Policy</color></u></link>	使用本服務即代表您同意 Torpor Games 的
<link="https://www.torporgames.com/terms-of-service"><color=#D9D6D6><u>服務條款</color></u></link> 與 <link="https://www.torporgames.com/privacy-policy"><color=#D9D6D6><u>隱私權政策</color></u></link>	full-corpus-half-a
Anton	安東	full-corpus-half-a
Rachel Glassberg	Rachel Glassberg	full-corpus-half-a
5000	5000	full-corpus-half-a
Stephen Gray	史蒂芬·格雷	full-corpus-half-a
Evolve PR	Evolve PR	full-corpus-half-a
Confirm	確認	full-corpus-half-a
Reward in 5s	5秒後獎勵	full-corpus-half-a
Ministry of Propaganda and
Society	部 宣傳與社會部	full-corpus-half-a
USP	團結社會黨	full-corpus-half-a
<size=19>(Press)</size> Hyperlinks	<size=19>（按下）</size> 超連結	full-corpus-half-a
profile name	個人檔案名稱	full-corpus-half-a
(+2)	(+2)	full-corpus-half-a
Semih Güner	Semih Güner	full-corpus-half-a
Link Account with Email	連結電子郵件帳號	full-corpus-half-a
Debug Text:	除錯文字：	full-corpus-half-a
STABILITY	穩定度	full-corpus-half-a
GREATER HOLSORD REGION	大霍爾索德地區	full-corpus-half-a
Fiona Murray	Fiona Murray	full-corpus-half-a
The nationalist general who led a military coup and declared martial law in 1927.	這位民族主義將軍在 1927 年發動了軍事政變並宣佈戒嚴。	full-corpus-half-a
Nathan De Farias Lima	Nathan De Farias Lima	full-corpus-half-a
Menu	選單	full-corpus-half-a
Support	支援	full-corpus-half-a
Law	法律	full-corpus-half-a
Demographics	人口統計	full-corpus-half-a
Toggle Unit Stats	切換單位數據	full-corpus-half-a
Influence 4Influence 4Influence 4Influence 4Influence 4Influence 4	影響力 4影響力 4影響力 4影響力 4影響力 4影響力 4	full-corpus-half-a
Incorrect email or password.	電子郵件或密碼錯誤。	full-corpus-half-a
Post-processing	後製處理	full-corpus-half-a
email	電子郵件	full-corpus-half-a
Owned	已擁有	full-corpus-half-a
AFFILIATION:	隸屬關係：	full-corpus-half-a
Military	軍隊	full-corpus-half-a
Anton Rayne	安東·雷恩	full-corpus-half-a
Infantry	步兵	full-corpus-half-a
Turn	回合	full-corpus-half-a
asadasdasdasdadasdasdasdasd	asadasdasdasdadasdasdasdasd	full-corpus-half-a
Deploy additional units	部署額外單位	full-corpus-half-a
Fortify	防禦	full-corpus-half-a
Previous Entry	上一條目	full-corpus-half-a
Ministry of Design, Writing and 
Visual Arts	部 設計、寫作與
視覺藝術	full-corpus-half-a
Grimaldus	格里馬爾杜斯	full-corpus-half-a
World Map	世界地圖	full-corpus-half-a
Submarines	潛艇	full-corpus-half-a
EMERGENCY DECLARED	緊急狀態已宣告	full-corpus-half-a
Defence	國防	full-corpus-half-a
Titas Serpenskas	提塔斯·塞彭斯卡斯	full-corpus-half-a
Grander Asemble au Altmer dei Sordland	Grander Asemble au Altmer dei 蘇德蘭	full-corpus-half-a
ROTATE	旋轉	full-corpus-half-a
Delete Personal Data	刪除個人資料	full-corpus-half-a
Type here to search...	在此輸入以搜尋...	full-corpus-half-a
Zoom In	放大	full-corpus-half-a
CAP REACHED	已達上限	full-corpus-half-a
Story Points	劇情點數	full-corpus-half-a
E-mail is required.	電子郵件為必填項。	full-corpus-half-a
Special Thanks	特別感謝	full-corpus-half-a
UNSTABLE	不穩定	full-corpus-half-a
​	​	full-corpus-half-a
Religion	宗教	full-corpus-half-a
ATA SERGEY NOWAK	ATA SERGEY NOWAK	full-corpus-half-a
Topmak	Topmak	full-corpus-half-a
Gundolf S. Freyermuth	Gundolf S. Freyermuth	full-corpus-half-a
Old Guard refer to the Sollists from the old administration who defends the status quo and promotes conservative politics. Some claim that they established a deep state that controls the state apparatus.	舊衛隊 指的是舊政府中捍衛現狀並推動保守政治的 索爾主義者。有些人聲稱他們建立了一個控制國家機器的深層政府。	full-corpus-half-a
Resources & Units	資源與單位	full-corpus-half-a
Julian-Constantin Nowak	朱利安-康斯坦丁·諾瓦克	full-corpus-half-a
Suporrt Explanation	支持度說明	full-corpus-half-a
Log Out	登出	full-corpus-half-a
Harufumi Sakasegawa	坂瀨川春文	full-corpus-half-a
Next	下一頁	full-corpus-half-a
Economical Growth	經濟成長	full-corpus-half-a
Managing Director	執行董事	full-corpus-half-a
Restart	重新開始	full-corpus-half-a
Malenyevist	馬列尼耶夫主義者	full-corpus-half-a
Return to Conversation	回到對話	full-corpus-half-a
Felix Kramer	Felix Kramer	full-corpus-half-a
Marketing Coordinator	行銷協調員	full-corpus-half-a
Colin James Gurney	Colin James Gurney	full-corpus-half-a
Emily Cox	Emily Cox	full-corpus-half-a
Daniel Zacharias	Daniel Zacharias	full-corpus-half-a
All land border tiles must have a unit.	所有陸地邊界地塊必須駐紮單位。	full-corpus-half-a
5/10	5/10	full-corpus-half-a
Under Construction	建設中	full-corpus-half-a
Congratulations. You've unlocked the daily reward for today.


Keep up the good work.	恭喜。您已解鎖今日的每日獎勵。


繼續保持努力。	full-corpus-half-a
END	結束	full-corpus-half-a
Continue...	繼續...	full-corpus-half-a
Cactuar512	Cactuar512	full-corpus-half-a
Marketing	行銷	full-corpus-half-a
Production Manager	製作經理	full-corpus-half-a
Ethnicity	族裔	full-corpus-half-a
X	X	full-corpus-half-a
ARCASIAN CAPITALISM	阿卡西亞資本主義	full-corpus-half-a
Gert Elshani	Gert Elshani	full-corpus-half-a
Andy Sum	Andy Sum	full-corpus-half-a
User Testing	使用者測試	full-corpus-half-a
Naval Invasion	海軍入侵	full-corpus-half-a
Continue with Apple	使用 Apple 繼續	full-corpus-half-a
HORST NOWAK	HORST NOWAK	full-corpus-half-a
Brendan McElroy	Brendan McElroy	full-corpus-half-a
Tanks	坦克	full-corpus-half-a
Danielle Allum	丹妮爾·阿勒姆	full-corpus-half-a
Are you sure you want to delete Torpor Games Account?
You will lose your game backups and any associated data.	您確定要刪除 Torpor Games 帳號嗎？
您將會遺失您的遊戲備份以及任何相關資料。	full-corpus-half-a
Construction	建設	full-corpus-half-a
Typewriter	打字機	full-corpus-half-a
Deathminor	Deathminor	full-corpus-half-a
Sarah Pavlich	Sarah Pavlich	full-corpus-half-a
Suzanne Wallace
	蘇珊·華萊士
	full-corpus-half-a
Aarón J. Morales	Aarón J. Morales	full-corpus-half-a
Profile Name is required.	必須輸入個人檔案名稱。	full-corpus-half-a
Business Manager	商務經理	full-corpus-half-a
United Sordland Party	蘇德蘭團結黨	full-corpus-half-a
+	+	full-corpus-half-a
-2	-2	full-corpus-half-a
You have given away your powers to veto bills.	您已經放棄了否決法案的權力。	full-corpus-half-a
Save	儲存	full-corpus-half-a
Torpor Games Privacy Policy	Torpor Games 隱私權政策	full-corpus-half-a
Bundles	組合包	full-corpus-half-a
Fernando Rizo	Fernando Rizo	full-corpus-half-a
ECONOMY	經濟	full-corpus-half-a
(Add to Trainining Queue)	（加入訓練佇列）	full-corpus-half-a
Cancel	取消	full-corpus-half-a
Tutorial	教學	full-corpus-half-a
Sign	簽署	full-corpus-half-a
Low	低	full-corpus-half-a
Sarmo	Sarmo	full-corpus-half-a
Data Collection

This game collects gameplay data through Torpor Games' analytics service, A/B testing and service providers. The information gathered will aid us in enhancing game balance for a better game experience. For further information see the Torpor Games Privacy Policy.	數據收集

本遊戲透過 Torpor Games 的分析服務、A/B 測試及服務供應商收集遊戲數據。所收集的資訊將協助我們改善遊戲平衡，以提供更好的遊戲體驗。欲了解更多資訊，請參閱 Torpor Games 隱私權政策。	full-corpus-half-a
1	1	full-corpus-half-a
Voluntary Community Testers	志願社群測試人員	full-corpus-half-a
Enter save file name...	輸入存檔名稱...	full-corpus-half-a
Open Demographics	開啟人口統計	full-corpus-half-a
Air supports for 1 turn
+{0} <sprite name="attack">
+{0} <sprite name="defence">
+{0} <sprite name="support">	空中支援 1 回合
+{0} <sprite name="attack">
+{0} <sprite name="defence">
+{0} <sprite name="support">	full-corpus-half-a
Eastern Merkopa Bundle	東默科帕 組合包	full-corpus-half-a
Ipek Unal	Ipek Unal	full-corpus-half-a
0	0	full-corpus-half-a
Colin Gurney	Colin Gurney	full-corpus-half-a
Michael Nathanael	Michael Nathanael	full-corpus-half-a
Ministry of Technology	部 技術	full-corpus-half-a
Hyperlinks	超連結	full-corpus-half-a
Experience	經驗	full-corpus-half-a
Return	返回	full-corpus-half-a
DEPLOYED	已部署	full-corpus-half-a
Benfi, nicknamed “The Jewel of Gruni”, is the 7th biggest and 3rd wealthiest city in Republic of Sordland. It is located in the south-eastern region of Gruni by the Ves Sea. 

It is internationally renowned for its beaches and wine, and very popular as a cheaper alternative to the luxurious coasts of Lespia. It produces 1/5 of Sordland’s tourism income alone. 	本菲，綽號「格魯尼之珠」，是蘇德蘭共和國第七大城市，也是第三富裕的城市。它位於格魯尼東南部，瀕臨維斯海。

它以海灘和葡萄酒聞名於世，作為萊斯皮亞豪華海岸的平價替代選擇而廣受歡迎。僅憑該市一地，就貢獻了蘇德蘭五分之一的旅遊收入。	full-corpus-half-a
Zoom Out	縮小	full-corpus-half-a
Manual Save	手動存檔	full-corpus-half-a
SAVING...	儲存中...	full-corpus-half-a
Journal	日誌	full-corpus-half-a
4th President of Sordland	第 4 蘇德蘭總統	full-corpus-half-a
Reinforcements	增援	full-corpus-half-a
Republic of Lespia	萊斯皮亞共和國	full-corpus-half-a
1954	1954	full-corpus-half-a
Campaing Finance Bill	競選財務法案	full-corpus-half-a
Janine Campos	Janine Campos	full-corpus-half-a
In Training	訓練中	full-corpus-half-a
RECENT ACTIVITY	近期活動	full-corpus-half-a
Reconnect	重新連線	full-corpus-half-a
In the graph below, you can track the economy's growth over time and use the timeline filter to explore historical data.	在下方的圖表中，您可以追蹤經濟隨時間的成長，並使用時間軸篩選器來探索歷史數據。	full-corpus-half-a
asdasdasd	asdasdasd	full-corpus-half-a
Welcome to Suzerain	歡迎來到《蘇茲倫》	full-corpus-half-a
Martin Eyerer	Martin Eyerer	full-corpus-half-a
New E-Mail Address	新電子郵件地址	full-corpus-half-a
Gift Codes	禮物代碼	full-corpus-half-a
Delete Torpor Account	刪除 Torpor 帳號	full-corpus-half-a
Ministry of Music, Sound and 
Writing	音樂、音效與寫作部 
	full-corpus-half-a
Save file uploaded.	存檔已上傳。	full-corpus-half-a
End Turn	結束回合	full-corpus-half-a
Locked	已鎖定	full-corpus-half-a
Operations	營運	full-corpus-half-a
Edit Email	編輯電子郵件	full-corpus-half-a
The Grand National Assembly	大國民議會	full-corpus-half-a
Rizia Completed	里齊亞 已完成	full-corpus-half-a
Forgot Password?	忘記密碼？	full-corpus-half-a
Ministry of Design and Quality 
Assurance	設計與品質保證部 
	full-corpus-half-a
Ame Searle	艾姆·希爾	full-corpus-half-a
Scott Reismanis	Scott Reismanis	full-corpus-half-a
Veto	否決	full-corpus-half-a
Shawn Petraschuk	Shawn Petraschuk	full-corpus-half-a
Claire Goodwin	Claire Goodwin	full-corpus-half-a
Achievement Unlocked!	成就解鎖！	full-corpus-half-a
Juan Lagar	胡安·拉加爾	full-corpus-half-a
SSAO	SSAO	full-corpus-half-a
Influence 4	影響力 4	full-corpus-half-a
Elderlybull	Elderlybull	full-corpus-half-a
Funded with the assistance of 
The Treasure Hunters FanClub	由尋寶獵人粉絲俱樂部協助資助	full-corpus-half-a
Account Settings	帳號設定	full-corpus-half-a
PRESIDENTEN DEI SORDLAND	索爾德蘭總統	full-corpus-half-a
Marcus Lim	馬庫斯·林	full-corpus-half-a
Reward:	獎勵：	full-corpus-half-a
asdasdsad	asdasdsad	full-corpus-half-a
Re-Enter Password	再次輸入密碼	full-corpus-half-a
Armored Divisions can move faster on supply lines but will suffer when attacking mountains.  	裝甲師在補給線上移動速度較快，但在進攻山區時會受到懲罰。  	full-corpus-half-a
Marketing Manager	行銷經理	full-corpus-half-a
Ministry of Writing and 
Visual Arts	寫作與視覺藝術部 
	full-corpus-half-a
Window Mode	視窗模式	full-corpus-half-a
Decisions	決策	full-corpus-half-a
Overview	結束檢視	full-corpus-half-a
Louis Li	路易斯·李	full-corpus-half-a
CHRIS WRIGHT	CHRIS WRIGHT	full-corpus-half-a
Christopher Ferazzoli	克里斯多福·費拉佐利	full-corpus-half-a
Co-Published by Fellow Traveller	由 Fellow Traveller 聯合發行	full-corpus-half-a
Diplomacy	外交	full-corpus-half-a
Saved on a different version	於不同版本儲存	full-corpus-half-a
Set Password	設定密碼	full-corpus-half-a
128h	128小時	full-corpus-half-a
Finish	完成	full-corpus-half-a
Link Account	連結帳號	full-corpus-half-a
Anett Jenichen	Anett 詹ichen	full-corpus-half-a
Ryan Seville	Ryan Seville	full-corpus-half-a
Open Codex Entry	開啟法典條目	full-corpus-half-a
Info	資訊	full-corpus-half-a
Login	登入	full-corpus-half-a
Next Token/Panel	下一個標記/面板	full-corpus-half-a
1/2	1/2	full-corpus-half-a
Not Enough Story Points	故事點數不足	full-corpus-half-a
narration text	敘述文字	full-corpus-half-a
STORY POINTS	故事點數	full-corpus-half-a
Fortify a unit 
Heal {0} <sprite name="organization"> per turn 
Add {1} <sprite name="defence"> defence	強化單位 
每回合恢復 {0} <sprite name="organization"> 
增加 {1} <sprite name="defence"> 防禦	full-corpus-half-a
File Name: 	檔案名稱：	full-corpus-half-a
Story Selection - 28-11-2024 19-05-18	故事選擇 - 2024-11-28 19-05-18	full-corpus-half-a
Currently Active:	當前 法案 活躍：	full-corpus-half-a
Back to Codex	返回法典	full-corpus-half-a
In Memory Of	紀念	full-corpus-half-a
LEGISLATIVE REPRESENTATIVE	立法代表	full-corpus-half-a
