source	target	note
LOAD	載入	mainmenu-locaid
Options	選項	mainmenu-locaid
New Game	新遊戲	mainmenu-locaid
START STORY	開始故事	mainmenu-locaid
Exit	退出	mainmenu-locaid
Version	版本	mainmenu-locaid
Continue	繼續	mainmenu-locaid
Title	標題	mainmenu-locaid
Credits	製作名單	mainmenu-locaid
Password	密碼	mainmenu-locaid
Enter game name...	輸入遊戲名稱...	mainmenu-locaid
SAVING...	儲存中...	mainmenu-locaid
Campaign 1	戰役 1	mainmenu-locaid
Store	商店	mainmenu-locaid
Confirm	確認	mainmenu-locaid
Collections	收藏	mainmenu-locaid
Main Menu	主選單	mainmenu-locaid
profile name	個人檔案名稱	mainmenu-locaid
Link Account with Email	連結電子郵件帳號	mainmenu-locaid
Debug Text:	除錯文字：	mainmenu-locaid
Incorrect email or password.	電子郵件或密碼錯誤。	mainmenu-locaid
email	電子郵件	mainmenu-locaid
Owned	已擁有	mainmenu-locaid
AFFILIATION:	隸屬關係：	mainmenu-locaid
Latest News	最新消息	mainmenu-locaid
Delete Personal Data	刪除個人資料	mainmenu-locaid
CAP REACHED	已達上限	mainmenu-locaid
4th President of Sordland	第四屆蘇德蘭總統	mainmenu-locaid
Story Points	劇情點數	mainmenu-locaid
E-mail is required.	電子郵件為必填項。	mainmenu-locaid
Decline	拒絕	mainmenu-locaid
Log Out	登出	mainmenu-locaid
Vice President:	副總統：	mainmenu-locaid
Special Thanks	特別鳴謝	mainmenu-locaid
Malenyevist	馬列尼耶夫主義者	mainmenu-locaid
Continue with Apple	使用 Apple 繼續	mainmenu-locaid
Profile Name is required.	必須輸入個人檔案名稱。	mainmenu-locaid
United Sordland Party	蘇德蘭團結黨	mainmenu-locaid
Bundles	組合包	mainmenu-locaid
Sordland	蘇德蘭	mainmenu-locaid
Load Archetype	載入原型	mainmenu-locaid
Regionalist, Pragmatic, Man of the People	區域主義者、務實派、人民之人	mainmenu-locaid
Eastern Merkopa Bundle	東默科帕 組合包	mainmenu-locaid
Operations	營運	mainmenu-locaid
Experience	經驗	mainmenu-locaid
Map Switch/Open Login Page	地圖切換/開啟登入頁面	mainmenu-locaid
Resolution	解析度	mainmenu-locaid
Continue with Google	使用 Google 繼續	mainmenu-locaid
Tickets	票務	mainmenu-locaid
Select	選擇	mainmenu-locaid
Settings	設定	mainmenu-locaid
Zoom Out	縮小	mainmenu-locaid
Cancel	取消	mainmenu-locaid
Watch Ads	觀看廣告	mainmenu-locaid
CHOOSE A POLITICAL AFFILIATION	選擇政治傾向	mainmenu-locaid
Torpor Account Login	Torpor 帳號登入	mainmenu-locaid
Torpor Account	Torpor 帳號	mainmenu-locaid
Country	國家	mainmenu-locaid
Gift Codes	禮物代碼	mainmenu-locaid
Return	返回	mainmenu-locaid
Suzerain Completed	Suzerain 已完成	mainmenu-locaid
Delete	刪除	mainmenu-locaid
INFLUENCE	影響力	mainmenu-locaid
Login	登入	mainmenu-locaid
Story Packs	劇情包	mainmenu-locaid
