# src	tgt
# Manual entries below take precedence over the auto block.
Sordland	蘇德蘭
Rumburgh	倫堡
Valgsland	瓦爾格斯蘭
Agnolia	阿格諾利亞
NRP	國家復興黨
NFP	國家自由黨
USP	團結社會黨
President	總統
Presiding Secretary	主席秘書
Assembly of the People	人民議會
Merkopa	默科帕
Markian Sea	馬爾基安海

# >>> auto-glossary (generated by `tl glossary build`)
Rizia	里齊亞
President Rayne	雷恩總統
Sordish	蘇德蘭人
Rizian	里齊亞人
Bludish	布魯德人
Pales	帕萊斯
King	國王
King Romus	羅穆斯國王
Kingdom	王國
Rumburg	倫堡
Wehlen	威倫
Rayne	雷恩
Bergia	伯吉亞
Zille	齊勒
Crown	王權
Supreme Court	最高法院
BFF	布魯德自由陣線
Gasom	加索姆
Tarquin Soll	塔爾昆·索爾
Porte Drazon	德拉松港
Lespia	萊斯皮亞
Iza	伊扎
Arcasia	阿卡西亞
Holsord	霍爾索德
Palesian	帕萊斯人
Morella	莫雷拉
House of Delegates	代表議會
Assembly	議會
Wruhecist	烏赫教徒
Anton Rayne	安東·雷恩
United Contana	聯合康塔納
Brenas	布雷納斯
Grand National Assembly	大國民議會
The Crown	王室
Lachaven	拉查文
CSP	聯合社會主義陣線
His Majesty	陛下
Deyr	戴爾
PFJP	人民自由正義黨
ATO	阿卡西亞公約組織
President Anton Rayne	安東·雷恩總統
United Sordland Party	蘇德蘭團結黨
Young Sords	青年蘇德蘭人
Budget	預算
Bludish Freedom Front	布魯德自由陣線
Su Omina	蘇·奧米納
Derdia	德迪亞
Monqiz	蒙基茲
GRACE	格雷斯
RPP	共和人民黨
Montaklar	蒙塔克拉爾
Constitution	憲法
Frens Ricter	弗倫斯·里希特
Arcasian	阿卡西亞人
Rizian People's Party	里齊亞人民黨
Manus Sazon	馬努斯·薩松
Wehzek	威倫人
Red Youth	紅色青年
Alliance of Nations	國家聯盟
Kingdom of Rizia	里齊亞王國
Dastnurist	達斯特努教徒
Maroon Palace	栗色宮
Golcondist	戈爾孔教徒
Governor Bron	布隆總督
Valenqiris	瓦倫基里斯
Soll	索爾
Rizian Royal Gold	里齊亞皇家黃金
Eastern Merkopa	東默科帕
Malenyevist	馬列尼耶夫主義者
Alphonso	阿方索
Article	條款
King Romus Toras	羅穆斯·托拉斯國王
Aureus	奧雷斯
Taurus Holding	托拉斯控股
Nurity	努里蒂
Sordish Civil War	蘇德蘭內戰
Ewald Alphonso	埃瓦爾德·阿方索
House Sazon	薩松家族
Palace	宮殿
Jales	賈萊斯
RiziaDLCText	里齊亞DLC文本
Authority	權威
One	一
Sallabes	薩拉貝斯
Sordish Armed Forces	蘇德蘭武裝部隊
Lileas Graf	莉莉亞斯·格拉夫
Kesaro Kibener	凱薩羅·基貝納
Marcel Koronti	馬塞爾·科隆蒂
Grand Duchy of Pales	帕萊斯大公國
Rizians	里齊亞人
Sazon	薩松
Special Zone	特別區
Heljiland	赫爾吉蘭
Princess Vina	維娜公主
Agnolian	阿格諾利亞人
Due	應付
Bernard Circas	伯納德·瑟卡斯
Bronaz	布隆納茲
Ricter	里希特
President of Sordland	蘇德蘭總統
House Azaro	阿扎羅家族
Narbel	納貝爾
Grand National Assembly of Sordland	蘇德蘭大國民議會
House Toras	托拉斯家族
King Valero	瓦萊羅國王
Walter Tusk	沃爾特·塔斯克
Rumburgian	倫堡人
Soll Dam	索爾大壩
Plavo	普拉沃
Benfi	本菲
Gruni	格魯尼
Ishval Ersen	伊什瓦爾·埃爾森
Anrica	安里卡
MITZ	梅夫蒂姆國際貿易區
Cardesse-Montaklar	卡德斯-蒙塔克拉爾
Markian Empire	馬爾基安帝國
Rizia Imperii	里齊亞帝國
Agnland	阿格蘭
Meftiem International Trade Zone	梅夫蒂姆國際貿易區
The Kingdom	王國
Erzaren	埃爾扎倫
Toras	托拉斯
Lotherberg Group	洛瑟伯格集團
Argno	阿格諾
HOS	霍斯
Police	警察
The President	總統
Valgslandian	瓦爾格斯蘭人
Walter	沃爾特
General Luderin	盧德林將軍
Vendonesam	文多內薩姆
Adarfo Sotelato	阿達爾福·索特拉托
Golden Guard	黃金衛隊
Lespian	萊斯皮亞人
Sords	蘇德蘭人
Sordish State Corporation	蘇德蘭國有企業
Havas	哈瓦斯
Underhall Construction	安德霍爾建築公司
Republic of Sordland	蘇德蘭共和國
Antel Rock Prison	安特爾岩監獄
CEO	執行長
Energy Protection Act	能源保護法
HOS Resorts	霍斯度假村
Wruhecism	烏赫教
Duke	公爵
RRG	里齊亞皇家黃金
Workers Party of Bludia	布魯德工人黨
FC Anrica	安里卡足球俱樂部
Graf	格拉夫
Special Zone of Bergia	伯吉亞特別區
Government Budget	政府預算
Archsanctuary	大聖所
Nelvisar	內爾維薩爾
The King	國王
Kyrute	基魯特
Voice of Rizia	里齊亞之聲
Grand Duchy	大公國
Holsord State University	霍爾索德國立大學
Old Guard	舊衛隊
Smolak	斯莫拉克
Petr Vectern	彼得·維克特
Authorities	當局
Conriat	孔里亞特
Sollist	索爾主義者
Arvory	阿沃里
Over	結束
WPB	布魯德工人黨
Sordland Today	今日蘇德蘭
Caleqabiz	卡萊卡比茲
Interior	內政部
Valgen	瓦爾根
Romus Toras	羅穆斯·托拉斯
Rico Toras	里科·托拉斯
Uprising	起義
Derdian	德迪亞人
Kibener	基貝納
Office	辦公室
Vina	維娜
Ministry of Justice	司法部
Under Construction	建設中
The Supreme Court	最高法院
Palas Rezna	帕拉斯·雷茲納
Merkopan	默科帕人
Topes	托佩斯
RNC	里齊亞國家聯盟
Bludish Freedom Front BFF	布魯德自由陣線
Rizian National Coalition	里齊亞國家聯盟
Iza University	伊扎大學
Dewlen Arge	杜倫·阿格
National Front Party	國家自由黨
Erlory	埃爾洛里
President of Sordland Maroon Palace	蘇德蘭總統栗色宮
International Market	國際市場
Konrath Koronti	康拉特·科隆蒂
Bergia Steel	伯吉亞鋼鐵
Valgish	瓦爾格斯蘭人
Jen	詹
Plavo Archsanctuary	普拉沃大聖所
Phelix Bron	菲利克斯·布隆
Saint Dast	聖達斯特
Monarchy	君主制
Sarna	薩納
Rizia and Pales	里齊亞與帕萊斯
The Palace	宮殿
The Kingdom of Rizia	里齊亞王國
Golden Kingdom	黃金王國
Mansoun Leke	曼松·勒克
Hugo Toras	雨果·托拉斯
Section I	第一節
Alvarez	阿爾瓦雷斯
Koronti	科隆蒂
Morna	莫納
Malenyevism	馬列尼耶夫主義
Orso Hawker	奧爾索·霍克
Sordish Ren	蘇德蘭雷恩
Gelsord	格爾索德
Lorren	洛倫
Chief Justice Orso Hawker	首席大法官奧爾索·霍克
Bludish Freedom Party	布魯德自由黨
Rusty Montoro	拉斯蒂·蒙托羅
Livia Suno	莉維亞·蘇諾
Contanan	康塔納人
Governor	總督
Estord	埃斯托德
Uziren	烏齊倫
Romus	羅穆斯
General Taddeus Azaro	塔德烏斯·阿扎羅將軍
Colonel Tarquin Soll	塔爾昆·索爾上校
Friendship Day	友誼日
Remus Holstron	雷穆斯·霍爾斯特隆
General Staff	參謀總部
Fetih Ejall	費蒂赫·埃賈爾
First Lady	第一夫人
Morellan	莫雷拉人
Valero	瓦萊羅
Ejall	埃賈爾
Army	軍隊
Bron	布隆
Rico	里科
War of Rizian Succession	里齊亞繼承戰爭
President Tarquin Soll	塔爾昆·索爾總統
Republic of Morella	莫雷拉共和國
Communist Party	共產黨
Real Montaklar	皇家蒙塔克拉爾
The Radical	激進報
Ekonomists	經濟學家
Gus Manger	格斯·曼格
Ministry	部
Hegel	黑格爾
Communist Party of Sordland	蘇德蘭共產黨
The Grand National Assembly	大國民議會
Anti-Corruption Police	反腐敗警察
Ministry of Economy	經濟部
Angelica Sazon	安潔莉卡·薩松
Rezenid Empire	雷澤尼德帝國
Vice President	副總統
Chief Justice	首席大法官
South Merkopa	南默科帕
Wiktor Smolak	維克托·斯莫拉克
Holsord Post	霍爾索德郵報
Lucita Azaro	露西塔·阿扎羅
Section II	第二節
Sollism	索爾主義
Mermi	默米
Wisci	威斯奇
OMEC	歐麥克
Autonomous Zone of Bergia	伯吉亞自治區
Contanan Security Pact	康塔納安全條約
Chief Justice Hawker	霍克首席大法官
King Valero Toras	瓦萊羅·托拉斯國王
Wehlen Civil War	威倫內戰
Izzam Incident	伊扎姆事件
South Merkopan	南默科帕人
Government	政府
Fort Ales	阿萊斯堡
Sotelato	索特拉托
Circas	瑟卡斯
Invest	投資
People	人民
Act	法案
SSC	蘇德蘭國有企業
President Ewald Alphonso	埃瓦爾德·阿方索總統
His Majesty King Romus	羅穆斯國王陛下
Kingdom of Sordland	蘇德蘭王國
Secret State Police	國家秘密警察
Chancellor Hegel	黑格爾總理
Benfi Festival	本菲節
Skinner Cartel	斯金納卡特爾
Herbert Krull	赫伯特·克魯爾
Axa Victoria	阿克薩·維多利亞
Gloria Tory	格洛麗亞·托里
Golcondists	戈爾孔教徒
Holstron	霍爾斯特隆
Valenqir	瓦倫基爾
Ersen	埃爾森
Qinal	基納爾
Rubaz	魯巴茲
Rika	里卡
Ministry of Interior	內政部
Rizian Armed Forces	里齊亞武裝部隊
Aureus Gas Field	奧雷斯氣田
Katarina Horten	卡塔琳娜·霍爾滕
Greater Pales	大帕萊斯
King of Rizia	里齊亞國王
Valgos Empire	瓦爾戈斯帝國
Antacean Sea	安塔西安海
Antel Rock	安特爾岩
The ATO	阿卡西亞公約組織
Century of Revolutions	革命世紀
Sordish Constitution	蘇德蘭憲法
President Smolak	斯莫拉克總統
Prime Minister	總理
Royal Herald	皇家傳令官
Golcondism	戈爾孔教
Military	軍隊
