id	source	target
scene-tmp-00001	LOAD	載入
scene-tmp-00002	Options	選項
scene-tmp-00003	New Game	新遊戲
scene-tmp-00004	START STORY	開始故事
scene-tmp-00005	Exit	退出
scene-tmp-00006	Version	版本
scene-tmp-00007	Continue	繼續
scene-tmp-00008	Title	標題
scene-tmp-00009	Credits	製作名單
scene-tmp-00011	Password	密碼
scene-tmp-00013	Enter game name...	輸入遊戲名稱...
scene-tmp-00014	SAVING...	儲存中...
scene-tmp-00016	Level up by earning XP to unlock rewards and story points. 

Gain XP through completing actions and achievements in the game.	透過獲得經驗值來升級，以解鎖獎勵和故事點數。

透過完成遊戲中的行動和成就來獲得經驗值。
scene-tmp-00018	Campaign 1	戰役 1
scene-tmp-00019	Co-Published by Fellow Traveller	由 Fellow Traveller 聯合發行
scene-tmp-00021	Store	商店
scene-tmp-00024	By using this service you agree to the Torpor Games
<link="https://www.torporgames.com/terms-of-service"><color=#D9D6D6><u>Terms of Service</color></u></link> and <link="https://www.torporgames.com/privacy-policy"><color=#D9D6D6><u>Privacy Policy</color></u></link>	使用本服務即表示您同意 Torpor Games 的
<link="https://www.torporgames.com/terms-of-service"><color=#D9D6D6><u>服務條款</color></u></link>與<link="https://www.torporgames.com/privacy-policy"><color=#D9D6D6><u>隱私權政策</color></u></link>
scene-tmp-00026	Christopher Priestly	克里斯多福·普里斯特利
scene-tmp-00027	Ministry of Design, Writing and 
Visual Arts	部設計、寫作與
視覺藝術
scene-tmp-00028	Ame Brillantes	艾米·布里蘭特斯
scene-tmp-00030	St Daniel of PanContanan Church	潘康塔納人聖丹尼爾教堂
scene-tmp-00031	Jeppe Kjærgaard	傑佩·凱爾加德
scene-tmp-00032	Confirm	確認
scene-tmp-00033	Reward in 5s	5秒後獲得獎勵
scene-tmp-00034	Collections	收藏
scene-tmp-00035	Mridul Kashatria	姆里杜爾·卡沙特里亞
scene-tmp-00036	Main Menu	主選單
scene-tmp-00037	profile name	個人檔案名稱
scene-tmp-00038	Link Account with Email	連結電子郵件帳號
scene-tmp-00039	Debug Text:	除錯文字：
scene-tmp-00040	Omer Yentur	奧默·延圖爾
scene-tmp-00041	Mitchel Crama	米切爾·克拉馬
scene-tmp-00042	Niels Runge	尼爾斯·倫格
scene-tmp-00043	Jamie Nikolovski	傑米·尼科洛夫斯基
scene-tmp-00044	CHRIS WRIGHT	克里斯·萊特
scene-tmp-00045	Influence 4Influence 4Influence 4Influence 4Influence 4Influence 4	影響力 4影響力 4影響力 4影響力 4影響力 4影響力 4
scene-tmp-00046	Incorrect email or password.	電子郵件或密碼錯誤。
scene-tmp-00047	Anton Rayne has been elected the 4th President of Sordland amidst a deep recession, demands for reform and external pressures. 

As the United Sordland Party's candidate in 1954, he inherits a nation at a crucial turning point in its history.	安東·雷恩在經濟嚴重衰退、改革呼聲高漲以及外部壓力之下，當選為第4任蘇德蘭總統。

作為1954年蘇德蘭團結黨的候選人，他接手了一個正處於歷史關鍵轉折點的國家。
scene-tmp-00048	Mesquita Lima	梅斯基塔·利馬
scene-tmp-00049	email	電子郵件
scene-tmp-00050	Typewriter	打字機
scene-tmp-00051	Burg_er	漢堡
scene-tmp-00052	Owned	已擁有
scene-tmp-00053	AFFILIATION:	隸屬關係：
scene-tmp-00054	Templin Institute	坦普林研究所
scene-tmp-00056	Ministry of Production	部生產部
scene-tmp-00057	Latest News	最新消息
scene-tmp-00058	Delete Personal Data	刪除個人資料
scene-tmp-00059	CAP REACHED	已達上限
scene-tmp-00060	4th President of Sordland	第四屆蘇德蘭總統
scene-tmp-00061	Story Points	劇情點數
scene-tmp-00063	E-mail is required.	電子郵件為必填項。
scene-tmp-00065	Ministry of Visual Arts	部視覺藝術部
scene-tmp-00067	Decline	拒絕
scene-tmp-00068	Log Out	登出
scene-tmp-00069	Ministry of Foreign Affairs	部外交部
scene-tmp-00071	Vice President:	副總統：
scene-tmp-00072	Special Thanks	特別鳴謝
scene-tmp-00073	Malenyevist	馬列尼耶夫主義者
scene-tmp-00074	Petr Vectern	彼得·維克特
scene-tmp-00075	<size=19>(Press)</size> Gamepad Menu	<size=19>（按鍵）</size> 遊戲手把選單
scene-tmp-00076	Fiona Murray	菲奧娜·穆雷
scene-tmp-00077	"Neo Sollist"	「新 索爾主義者」
scene-tmp-00078	Congratulations. You've unlocked the daily reward for today.


Keep up the good work.	恭喜。您已解鎖今日的每日獎勵。


繼續保持！
scene-tmp-00079	END	結束
scene-tmp-00080	Anett Jenichen	安內特·詹伊琴
scene-tmp-00081	Ryan Seville	瑞安·塞維爾
scene-tmp-00082	Ministry of Technology and 
Quality Assurance	技術與品質保證 部
scene-tmp-00083	Andy Sum	安迪·薩姆
scene-tmp-00085	ARCASIAN CAPITALISM	阿卡西亞資本主義
scene-tmp-00086	Continue with Apple	使用 Apple 繼續
scene-tmp-00087	Are you sure you want to delete Torpor Games Account?
You will lose your game backups and any associated data.	您確定要刪除 Torpor Games 帳號嗎？
您將會遺失您的遊戲備份及任何相關資料。
scene-tmp-00088	Clementine Laffont	克萊門汀·拉豐
scene-tmp-00089	Production	製作
scene-tmp-00090	Ilke Karademir	伊爾克·卡拉德米爾
scene-tmp-00091	Sordland	蘇德蘭
scene-tmp-00092	Post-processing	後製處理
scene-tmp-00093	Profile Name is required.	必須輸入個人檔案名稱。
scene-tmp-00094	United Sordland Party	蘇德蘭團結黨
scene-tmp-00095	In Memory Of	紀念
scene-tmp-00096	Vihan Yalamanchili	維漢·亞拉曼奇利
scene-tmp-00097	Ekin Keserer	埃金·凱塞雷爾
scene-tmp-00098	Bundles	組合包
scene-tmp-00099	Ministry of Propaganda and
Society	宣傳與社會 部
scene-tmp-00100	Sordland	蘇德蘭
scene-tmp-00102	Load Archetype	載入原型
scene-tmp-00106	Regionalist, Pragmatic, Man of the People	區域主義者、務實派、人民之人
scene-tmp-00108	Managing Director	執行董事
scene-tmp-00109	Eastern Merkopa Bundle	東默科帕 組合包
scene-tmp-00110	Ministry of Design and Quality 
Assurance	部 設計與品質保證部
scene-tmp-00111	Ministry of Music, Sound and 
Writing	部 音樂、音效與
編劇部
scene-tmp-00113	Operations	營運
scene-tmp-00114	Experience	經驗
scene-tmp-00117	Map Switch/Open Login Page	地圖切換/開啟登入頁面
scene-tmp-00119	Resolution	解析度
scene-tmp-00120	Marketing Manager	行銷經理
scene-tmp-00121	Ministry of Writing and 
Visual Arts	部 編劇與
視覺藝術部
scene-tmp-00122	Marketing Coordinator	行銷協調員
scene-tmp-00123	RECENT ACTIVITY	近期活動
scene-tmp-00124	Reconnect	重新連線
scene-tmp-00125	Funded with the assistance of 
The Treasure Hunters FanClub	由尋寶者粉絲俱樂部協助資助
scene-tmp-00127	Welcome to Suzerain	歡迎來到《Suzerain》
scene-tmp-00128	Torpor Mode	Torpor 模式
scene-tmp-00130	New E-Mail Address	新電子郵件地址
scene-tmp-00131	Font Size	字體大小
scene-tmp-00132	Version:	版本：
scene-tmp-00133	Gift Codes	禮物代碼
scene-tmp-00134	Delete Torpor Account	刪除 Torpor 帳號
scene-tmp-00135	Ministry of Technology	部 技術
scene-tmp-00137	Edit Email	編輯電子郵件
scene-tmp-00138	Forgot Password?	忘記密碼？
